MF,FinalBMIS,Orig_RSD,FinalRSD,SampID,runDate,type,samp,replicate,Area,Adjusted_Area,Blk.QC
Acetyl-L-carnitine,"Indole 3 Acetic Acid, D5",0.20320428035051383,0.13505979988486472,210329_Smp_PPL_Aloha_A,210329,Smp,PPL,Aloha,152601,131696.20354968365,ok
Acetyl-L-carnitine,"Indole 3 Acetic Acid, D5",0.20320428035051383,0.13505979988486472,210329_Smp_PPL_Aloha_B,210329,Smp,PPL,Aloha,301660,246419.49015677272,ok
Acetyl-L-carnitine,"Indole 3 Acetic Acid, D5",0.20320428035051383,0.13505979988486472,210329_Smp_PPL_Aloha_C,210329,Smp,PPL,Aloha,63821,54841.15279279924,ok
Acetyl-L-carnitine,"Indole 3 Acetic Acid, D5",0.20320428035051383,0.13505979988486472,210329_Smp_PPL_PS_A,210329,Smp,PPL,PS,609686,479898.5188413456,ok
Acetyl-L-carnitine,"Indole 3 Acetic Acid, D5",0.20320428035051383,0.13505979988486472,210329_Smp_PPL_PS_B,210329,Smp,PPL,PS,392739,316919.71225277707,ok
Acetyl-L-carnitine,"Indole 3 Acetic Acid, D5",0.20320428035051383,0.13505979988486472,210329_Smp_PPL_PS_C,210329,Smp,PPL,PS,305210,247094.0871304012,ok
Adenosyl Homocysteine,Inj_vol,0.06168204708476765,0.06168204708476765,210329_Smp_PPL_Aloha_A,210329,Smp,PPL,Aloha,538986,35932.4,ok
Adenosyl Homocysteine,Inj_vol,0.06168204708476765,0.06168204708476765,210329_Smp_PPL_Aloha_B,210329,Smp,PPL,Aloha,954439,63629.26666666667,ok
Adenosyl Homocysteine,Inj_vol,0.06168204708476765,0.06168204708476765,210329_Smp_PPL_Aloha_C,210329,Smp,PPL,Aloha,672085,44805.666666666664,ok
Adenosyl Homocysteine,Inj_vol,0.06168204708476765,0.06168204708476765,210329_Smp_PPL_PS_A,210329,Smp,PPL,PS,788801,52586.73333333333,ok
Adenosyl Homocysteine,Inj_vol,0.06168204708476765,0.06168204708476765,210329_Smp_PPL_PS_B,210329,Smp,PPL,PS,501830,33455.333333333336,ok
Adenosyl Homocysteine,Inj_vol,0.06168204708476765,0.06168204708476765,210329_Smp_PPL_PS_C,210329,Smp,PPL,PS,760209,50680.6,ok
Decarboxylated S-Adenosylmethionine,Inj_vol,0.2953388002372372,0.2953388002372372,210329_Smp_PPL_Aloha_A,210329,Smp,PPL,Aloha,430919,28727.933333333334,ok
