Compound,z,RFmax,RFmin,RF,RFratio
1-palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine,NA,NA,NA,NA,5.276122539567139
1-stearoyl-2-oleoyl-sn-glycero-3-phosphoethanolamine,NA,NA,NA,NA,7.094765756519979
"2,4 decadienal",1,62622524,51665524,57144024,0.9997521477962444
"2,4 octadienal",1,36550392,29897324,33223858,1.0044208358595759
3 Indolebutyric Acid,1,37301228,24560740,30930984,0.8074390192313137
3 Indolepropionic Acid,1,33670016,19806200,26738108,0.8874971852738932
3-Indoleacetonitrile,1,468068,410048,439058,0.8347630062741245
3OC10-HSL,1,305254336,284688320,294971328,1.2053770237283703
3OC12-HSL,1,209859088,174085248,191972168,1.020586185289087
3OC6-HSL,1,249940384,241259408,245599896,1.063525427844219
3OC8-HSL,1,131767440,114816656,123292048,0.9779390173784958
3OHC12-HSL,1,204907520,170328576,187618048,1.0397435248986016
7-dehydrocholesterol,NA,NA,NA,NA,2.7007446477837
Abscisic Acid,1,148382256,127289880,137836068,1.0628190385100438
Acetosyringone,1,88300832,52460192,70380512,1.0446715425130728
Acetovanillone,1,101802656,69278920,85540788,0.9945560864111289
Acetyl-L-carnitine,NA,NA,NA,NA,1.4848383113480508
Adenosyl Homocysteine,1,25064256,24824952,24944604,1.1251492722157757
Adenosyl Methionine,1,18079624,17318332,17698978,0.7773650993579706
Agmatine,1,192904432,161939056,177421744,0.3161481162619718
Aminobenzoic Acid,1,113875856,69581912,91728884,0.9742358044548383
Betaine,NA,NA,NA,NA,0.4896958795674963
Butyryl-L-carnitine,NA,NA,NA,NA,1.0032912010234527
C10-HSL,1,255275120,208882640,232078880,1.0275040452805444
C12-HSL,1,383678944,305933312,344806128,1.0644738262068776
C14-HSL,1,83228688,70283848,76756268,1.08963889682973
C4-HSL,1,118739640,110964512,114852076,1.0420538949385145
C6-HSL,1,188119984,169511136,178815560,1.0119193628439314
C8-HSL,1,377672128,325164256,351418192,1.0377862861934362
Caffeine,1,156599792,122159024,139379408,0.9651190662994529
Camalexin,1,1432530432,1264963072,1348746752,0.8861665271604334
Carotene,NA,NA,NA,NA,3.4755145537554943
Choline,NA,NA,NA,NA,0.7389160795945504
cinnamoyl-HSL,1,111438496,91912680,101675588,1.01518158860225
Coenzyme B12,2,32358480,30699124,31528802,0.9560085925071198
Coenzyme Q1,1,53113168,41337160,47225164,1.0932486249418234
Coenzyme Q10,NA,NA,NA,NA,3.4961842624127453
Cys-Gly,1,18489288,6850964,12670126,0.009401626699868007
Decarboxylated S-Adenosylmethionine,1,145099392,92593064,118846228,1.0659099041554239
Desthiobiotin,1,228510560,181261648,204886104,0.9615818055141043
Dimethyl glycine,NA,NA,NA,NA,1.0531128996720867
Dimethyl-benzimidazole,1,974316352,841778816,908047584,0.9664295530607996
Domoic Acid,1,141489264,101901664,121695464,1.1003464768882534
Ergosterol,NA,NA,NA,NA,1.9881476552627084
Ethyl 3 aminobenzoate,1,1394649856,993547776,1194098816,1.0058091564507046
Ferulic Acid,1,21782552,12039248,16910900,1.0323462313044796
Glutathione,NA,NA,NA,NA,0.4696175882627382
Glutathione Disulfide,NA,NA,NA,NA,1.7212626234083896
HHQ,1,2349652480,1965056000,2157354240,1.0494772864330513
Homoserine lactone,1,55535364,34352900,44944132,0.45913692222619684
Hydroxo B12,2,167630368,127458160,147544264,0.7375091897930431
IAA,1,25456868,13559084,19507976,0.9073931980557974
Indole 3 acetamide,1,190657984,164093168,177375576,0.9140242727070773
Indole 3 carboxylic acid,1,23171212,11764196,17467704,0.9329047646213833
Indole 3 Lactic Acid,1,23693676,13703640,18698658,0.9193017953651936
Indole 3 methyl acetate,1,58206848,45357968,51782408,0.8572068536703933
Indoleacrylic acid,1,40439080,24800596,32619838,1.0247765792052685
Isobutyryl-L-carnitine,1,90247400,83062952,86655176,1.0032912010234527
Kinetin,1,143444416,113522184,128483300,0.8637476615052331
Kynurenine,1,96237808,68206632,82222220,0.9420768220926825
Melatonin,1,622504704,535214464,578859584,0.9871535010910522
Methyl B12,2,126754728,99175656,112965192,0.8470876685286968
Methyl indole 3 carboxylate,1,69822736,42933004,56377870,0.9085681356300676
Methylthioadenosine,1,297818432,214822816,256320624,1.1521831252620467
Monesin,1,178161328,118260720,148211024,0.9350555584513383
p-Coumaric Acid,1,11463864,6358376,8911120,1.0464057420480968
p-Coumoroyl-HSL,1,92544424,72345904,82445164,1.0517322974405352
Phenylalanine,1,117463656,83526072,100494864,1.074346149569544
Propionyl-L-carnitine,NA,NA,NA,NA,1.2130374141724571
Pyridoxal,1,293986080,266068816,280027448,0.6201809096288267
Pyridoxal Phosphate,1,23405508,10808396,17106952,1.2109929791320555
Pyridoxamine,1,189298560,178106000,183702280,1.1072039414169894
Retinoic Acid,NA,NA,NA,NA,1.5880682369423438
RP B12,2,53929336,37721736,45825536,1.0097131400184862
S-Farnesyl-L-cysteine Methyl Ester,1,69195264,57114192,63154728,0.8432043622094411
Sinapic Acid,1,25744540,13481464,19613002,1.0099676726222828
Squalene,NA,NA,NA,NA,3.1838813667308448
Sulfurol,1,649393728,583990592,616692160,0.8574152082958137
Syringaldehyde,1,66941108,33895096,50418102,1.0663228178110375
Syringic Acid,1,3901476,2008816,2955146,1.101995927002243
Thiamine monophosphate,NA,NA,NA,NA,0.26424400926615466
thiamine pyrophosphate,NA,NA,NA,NA,Inf
Tocopherol (Vit E),NA,NA,NA,NA,1.5484141973388756
Tocotrienol,NA,NA,NA,NA,2.525676023074744
trans Retinal,NA,NA,NA,NA,1.0331402915411831
Tropodithietic acid,1,41170420,27510228,34340324,0.23413879896643258
Tryptamine,1,52549940,44592236,48571088,0.962980679151564
Tryptophan,1,72927664,52848488,62888076,1.0789693573453265
Tryptophol,1,42861932,28018376,35440154,0.9457433639733891
Tyrosine,NA,NA,NA,NA,0.8867962333292934
Vanillic Acid,1,2941460,2146172,2543816,0.8737592643785912
Vanillin,1,76338448,45373112,60855780,1.0895392704330367
Vitamin B1,1,180316016,161802880,171059448,0.7524252388138194
Vitamin B2,1,102074640,80718712,91396676,1.0004432702080577
Vitamin B3,1,210506944,141744784,176125864,1.5608192464431245
Vitamin B5,1,72056368,57591716,64824042,1.2294740642883308
Vitamin B6,1,628532416,556591232,592561824,0.674461651878014
Vitamin B7,1,85291520,66829996,76060758,0.9732774445814876
Vitamin B9,1,9089736,6143984,7616860,0.7660702230773916
Vitamin D2,NA,NA,NA,NA,1.6640537824149464
Vitamin K1,NA,NA,NA,NA,2.7414613741182516
Vitamin K2,NA,NA,NA,NA,2.4979682511056085
Xanthine,1,41659404,24155820,32907612,0.8890063021010265
