Compound,Rep,sample,EE.adjust.conc,C,N,Nmol.C,Nmol.N
Domoic Acid,210329_Smp_PPL_Aloha_A,Aloha,0.004704582208915494,15,1,0.07056873313373241,0.004704582208915494
Domoic Acid,210329_Smp_PPL_Aloha_B,Aloha,0.003315305093406537,15,1,0.049729576401098055,0.003315305093406537
Domoic Acid,210329_Smp_PPL_Aloha_C,Aloha,0.004454961095132046,15,1,0.06682441642698068,0.004454961095132046
Domoic Acid,210329_Smp_PPL_PS_A,PS,0.002761332287035489,15,1,0.041419984305532336,0.002761332287035489
Domoic Acid,210329_Smp_PPL_PS_B,PS,0.024651748436751234,15,1,0.3697762265512685,0.024651748436751234
Domoic Acid,210329_Smp_PPL_PS_C,PS,0.0076353028658155955,15,1,0.11452954298723393,0.0076353028658155955
Kynurenine,210329_Smp_PPL_Aloha_A,Aloha,0.07235491798954197,10,2,0.7235491798954197,0.14470983597908393
Kynurenine,210329_Smp_PPL_Aloha_B,Aloha,0.021635109525237957,10,2,0.21635109525237955,0.043270219050475914
Kynurenine,210329_Smp_PPL_Aloha_C,Aloha,0.008171844888784292,10,2,0.08171844888784292,0.016343689777568584
Kynurenine,210329_Smp_PPL_PS_A,PS,0.05122602352928832,10,2,0.5122602352928831,0.10245204705857663
Kynurenine,210329_Smp_PPL_PS_B,PS,0.06796785529769447,10,2,0.6796785529769447,0.13593571059538895
Kynurenine,210329_Smp_PPL_PS_C,PS,0.164378863416081,10,2,1.64378863416081,0.328757726832162
Methylthioadenosine,210329_Smp_PPL_Aloha_A,Aloha,8.978370314623867e-5,11,5,9.876207346086253e-4,4.4891851573119335e-4
Methylthioadenosine,210329_Smp_PPL_Aloha_B,Aloha,1.0075094438929376e-4,11,5,0.0011082603882822313,5.037547219464688e-4
Methylthioadenosine,210329_Smp_PPL_Aloha_C,Aloha,3.2841609349747023e-4,11,5,0.0036125770284721726,0.001642080467487351
Methylthioadenosine,210329_Smp_PPL_PS_A,PS,5.9672161566e-4,11,5,0.0065639377722600005,0.0029836080783
Methylthioadenosine,210329_Smp_PPL_PS_B,PS,0.0010705805393190885,11,5,0.011776385932509974,0.0053529026965954424
Methylthioadenosine,210329_Smp_PPL_PS_C,PS,0.002696487471501823,11,5,0.029661362186520053,0.013482437357509114
Sulfurol,210329_Smp_PPL_Aloha_A,Aloha,0.0029895094543682986,6,1,0.017937056726209794,0.0029895094543682986
Sulfurol,210329_Smp_PPL_Aloha_B,Aloha,0.002922981667348136,6,1,0.017537890004088813,0.002922981667348136
Sulfurol,210329_Smp_PPL_Aloha_C,Aloha,0.0030559947679695693,6,1,0.018335968607817416,0.0030559947679695693
Sulfurol,210329_Smp_PPL_PS_A,PS,0.00655884655575215,6,1,0.0393530793345129,0.00655884655575215
Sulfurol,210329_Smp_PPL_PS_B,PS,0.005844728175718586,6,1,0.035068369054311516,0.005844728175718586
Sulfurol,210329_Smp_PPL_PS_C,PS,0.006978645443740587,6,1,0.04187187266244352,0.006978645443740587
Vitamin B3,210329_Smp_PPL_Aloha_A,Aloha,0.012048925152408274,6,1,0.07229355091444964,0.012048925152408274
Vitamin B3,210329_Smp_PPL_Aloha_B,Aloha,0.005419422858549895,6,1,0.032516537151299374,0.005419422858549895
Vitamin B3,210329_Smp_PPL_Aloha_C,Aloha,0.004209551136451155,6,1,0.02525730681870693,0.004209551136451155
Vitamin B3,210329_Smp_PPL_PS_A,PS,0.015317944642596552,6,1,0.09190766785557931,0.015317944642596552
Vitamin B3,210329_Smp_PPL_PS_B,PS,0.005449281201555774,6,1,0.03269568720933465,0.005449281201555774
