Compound,Sample,Mean Concentration (nM),Standard Deviation of Concentration (nM),Mean Concentration C (nM C),Standard Deviation of Concentration C (nM C),Mean Concentration N (nM N),Standard Deviation of Concentration N (nM N)
(3-Carboxypropyl)trimethylammonium,Aloha,0.0479,0.00382,0.335,0.0267,0.0479,0.00382
(3-Carboxypropyl)trimethylammonium,NP,0.0339,0.00558,0.237,0.0390,0.0339,0.00558
(3-Carboxypropyl)trimethylammonium,PS,0.109,0.0108,0.762,0.0754,0.109,0.0108
(Iso)leucine,Aloha,4.43,0.192,26.6,1.15,4.43,0.192
(Iso)leucine,LW,1.39,0.391,8.34,2.34,1.39,0.391
(Iso)leucine,NP,0.532,0.0660,3.19,0.396,0.532,0.0660
(Iso)leucine,PS,1.41,0.0279,8.48,0.168,1.41,0.0279
5-Hydroxyectoine,PS,0.0519,0.00986,0.311,0.0592,0.104,0.0197
5-Methylcytosine,LW,0.0866,0.0139,0.433,0.0695,0.260,0.0417
Adenine,LW,0.488,0.186,2.44,0.931,2.44,0.931
Adenosine,LW,1.88,0.526,18.8,5.26,9.40,2.63
Arsenobetaine,Aloha,0.0154,0.00118,0.0769,0.00590,  NA,  NA
beta-Alanine,Aloha,2.10,0.381,6.31,1.14,2.10,0.381
beta-Alanine,LW,1.49,0.151,4.47,0.452,1.49,0.151
beta-Alanine,NP,1.73,0.368,5.18,1.10,1.73,0.368
beta-Alanine,PS,2.48,0.623,7.45,1.87,2.48,0.623
beta-Alaninebetaine,Aloha,0.233,0.0178,1.40,0.107,0.233,0.0178
beta-Alaninebetaine,LW,0.0545,0.0168,0.327,0.101,0.0545,0.0168
beta-Alaninebetaine,NP,0.151,0.0355,0.908,0.213,0.151,0.0355
beta-Alaninebetaine,PS,3.04,0.370,18.3,2.22,3.04,0.370
Betonicine,Aloha,0.0612,0.00998,0.428,0.0698,0.0612,0.00998
Betonicine,LW,0.0177,0.00559,0.124,0.0391,0.0177,0.00559
Betonicine,NP,0.0190,0.00689,0.133,0.0482,0.0190,0.00689
Betonicine,PS,0.0158,0.00352,0.110,0.0247,0.0158,0.00352
Citrulline,Aloha,2.57,0.844,15.4,5.06,7.70,2.53
Citrulline,LW,2.02,0.366,12.1,2.20,6.05,1.10
Creatine,Aloha,0.899,0.0465,3.60,0.186,2.70,0.140
Creatine,LW,0.517,0.188,2.07,0.750,1.55,0.563
Creatine,NP,0.411,0.0997,1.64,0.399,1.23,0.299
Creatine,PS,0.196,0.0194,0.782,0.0778,0.587,0.0583
Cytidine,LW,0.544,0.254,4.89,2.29,1.63,0.762
Cytidine,PS,0.147,0.0170,1.32,0.153,0.441,0.0510
Cytosine,Aloha,0.468,0.0511,1.87,0.204,1.40,0.153
Cytosine,LW,1.21,0.109,4.85,0.438,3.64,0.328
Cytosine,NP,0.912,0.275,3.65,1.10,2.74,0.826
Cytosine,PS,1.40,0.0755,5.59,0.302,4.19,0.226
Desthiobiotin,Aloha,0.00934,0.00415,0.0934,0.0415,0.0187,0.00830
Dimethylsulfonioacetate,Aloha,0.464,0.0209,1.86,0.0836,  NA,  NA
Dimethylsulfonioacetate,NP,0.965,0.219,3.86,0.875,  NA,  NA
Dimethylsulfonioacetate,PS,0.496,0.0430,1.99,0.172,  NA,  NA
Dimethylsulfoniopropionate,Aloha,3.43,0.197,17.2,0.984,  NA,  NA
Dimethylsulfoniopropionate,LW,0.0131,0.00408,0.0656,0.0204,  NA,  NA
Dimethylsulfoniopropionate,NP,6.70,1.45,33.5,7.25,  NA,  NA
Dimethylsulfoniopropionate,PS,2.26,0.258,11.3,1.29,  NA,  NA
Ectoine,Aloha,0.0544,0.00413,0.326,0.0248,0.109,0.00826
Ectoine,NP,0.0459,0.00503,0.275,0.0302,0.0918,0.0101
